,gas/electric,rent length,bedrooms,price,bathrooms,master,storage?,balcony/garden,electric/solar,AC,parking,SK,public transpo,loud neighborhood,construction to building,furnished?,pets,smoke,livingroom,accessible?,where,city,phone number,name
0,3,6,4,3000,2,3,3,1,3,5,1,5,5,1,3,5,1,1,3,1,Jerusalem ,1,1000000,person0
1,3,12,4,3000,1,3,2,3,1,3,2,5,4,4,3,3,1,1,2,2,Jerusalem ,1,1000001,person1
2,3,12,6,8000,2,2,2,5,3,5,1,1,5,4,3,4,5,4,4,4,Beer Sheba,1,1000002,person2
3,4,12,3,4000,1,3,3,3,5,2,1,4,4,2,4,3,1,1,4,3,Beer Sheba,1,1000003,person3
4,1,24,3,4000,1,5,3,5,3,1,1,5,5,4,5,3,5,5,4,4, ,0,1000004,person4
5,5,24,4,2000,1.5,1,2,2,1,2,2,5,5,3,3,4,1,1,2,1, ,1,1000005,person5
6,3,2,2,3000,1,1,1,2,1,3,1,5,5,2,2,5,1,5,1,1,Jerusalem ,1,1000006,person6
7,3,6,4,2000,1.5,2,4,2,3,4,1,5,4,2,3,4,1,1,2,3, ,1,1000007,person7
8,1,12,3,3000,1,5,2,1,1,1,1,1,4,3,4,4,2,3,2,3, ,1,1000008,person8
9,3,12,5,3000,2,1,4,4,1,4,1,5,5,4,2,4,3,1,4,5, ,1,1000009,person9
10,4,1,3,4000,1,3,3,4,4,2,1,1,5,5,4,3,1,1,3,2, ,,1000010,person10
11,4,12,3,2000,1,1,2,2,4,3,1,4,5,1,4,3,3,1,4,1, ,1,1000011,person11
12,4,12,3,4000,1.5,3,3,5,5,4,4,5,4,5,5,3,1,1,4,3,Jerusalem ,1,1000012,person12
13,4,12,4,2000,1.5,1,3,3,2,4,1,5,5,3,2,4,1,1,4,1, ,1,1000013,person13
14,5,6,1,3000,1,1,1,1,3,4,1,5,5,1,1,5,1,3,4,4,Merkaz,1,1000014,person14
15,3,12,3,4000,1,1,3,2,2,3,3,3,1,1,1,2,1,3,2,1, ,1,1000015,person15
16,4,12,3,3000,1,2,2,4,5,3,1,5,5,4,4,2,5,3,3,2, ,1,1000016,person16
17,3,12,3,6000,1.5,1,2,2,2,3,1,5,5,3,2,2,1,1,3,2,Beer Sheba,1,1000017,person17
18,5,12,3,4000,1.5,1,4,4,2,1,1,3,5,1,3,3,5,3,4,3,Jerusalem ,1,1000018,person18
19,3,12,2,3000,1,1,1,2,2,1,1,5,5,3,5,1,5,1,3,1,Beer Sheba,1,1000019,person19
20,3,1,1,3000,1,1,1,1,1,1,1,3,4,1,1,5,1,3,1,1, ,,1000020,person20
21,5,12,4,6000,1.5,1,4,3,2,4,1,3,5,1,3,3,1,1,3,1,Beer Sheba,1,1000021,person21
22,4,12,3,4000,1,2,4,3,2,4,2,4,4,2,4,4,2,1,4,3,Beer Sheba,1,1000022,person22
23,4,12,5,4000,1.5,2,2,4,4,4,1,4,5,5,5,3,1,1,4,5,Beer Sheba,1,1000023,person23
24,5,12,5,4000,2,4,4,5,4,5,1,3,5,5,5,1,2,2,4,3, ,,1000024,person24
25,3,1,3,4000,2,5,1,2,3,4,4,5,1,3,4,5,2,1,4,4, ,1,1000025,person25
26,3,12,3,2000,2,4,4,5,3,3,2,5,5,2,4,2,1,4,4,2, ,1,1000026,person26
27,3,12,3,6000,1.5,1,4,3,4,5,4,5,5,3,5,1,3,1,4,4, ,1,1000027,person27
28,5,24,3,4000,2,1,1,1,5,1,1,1,5,1,3,1,5,1,1,1, ,1,1000028,person28
29,3,12,4,3000,1.5,1,1,3,3,3,1,5,5,3,3,3,1,2,2,1,Jerusalem ,1,1000029,person29
30,5,2,1,3000,1.5,1,1,4,3,3,2,5,5,2,5,4,3,1,3,3, ,1,1000030,person30
31,1,6,3,4000,2,5,3,5,5,5,1,5,5,5,5,5,1,1,5,5, ,1,1000031,person31
32,3,12,3,4000,1.5,4,2,3,3,5,1,3,4,3,4,3,1,1,2,2, ,1,1000032,person32
33,2,6,4,6000,1,2,2,3,3,4,1,5,4,3,4,4,1,1,4,4, ,1,1000033,person33
34,5,12,4,7000,1.5,3,4,5,4,1,1,5,5,4,3,1,5,1,3,1, ,1,1000034,person34
35,3,12,5,3000,2,2,3,3,3,3,1,5,4,2,2,5,3,1,3,4,Jerusalem ,1,1000035,person35
36,5,12,3,4000,2,1,3,4,5,5,5,5,4,2,2,1,1,1,5,5, ,1,1000036,person36
37,5,24,3,4000,1.5,5,5,4,5,5,4,1,5,3,4,1,5,3,5,1, ,1,1000037,person37
38,5,12,5,4000,2,5,4,3,1,5,3,5,1,1,5,1,1,1,5,4, ,1,1000038,person38
39,5,6,4,4000,2,1,1,2,5,5,3,5,5,1,5,1,1,1,2,4, ,1,1000039,person39
40,5,6,3,4000,1.5,3,3,4,4,5,2,4,4,3,2,4,4,2,4,3, ,1,1000040,person40
41,3,12,2,3000,1,4,4,2,2,3,5,1,4,4,4,2,5,3,3,5, ,0,1000041,person41
42,3,12,1,2000,1,4,1,4,3,3,5,2,1,1,2,4,1,1,2,1, ,1,1000042,person42
43,1,6,3,3000,1,3,2,4,4,5,1,4,4,4,4,5,1,5,5,5, ,1,1000043,person43
44,1,12,1,3000,1.5,3,2,4,4,2,1,5,5,2,2,4,5,1,4,3, ,0,1000044,person44
45,5,6,3,3000,2,5,3,4,2,5,4,5,5,1,1,3,4,2,4,2, ,1,1000045,person45
46,3,2,2,2000,1.5,2,1,4,1,4,1,5,5,1,1,4,1,4,1,1, ,1,1000046,person46
47,4,12,3,3000,1.5,3,3,5,3,4,2,5,5,4,4,4,5,1,3,3, ,1,1000047,person47
48,3,12,4,3000,2,1,3,5,4,2,1,1,5,4,3,4,5,1,3,4, ,0,1000048,person48
49,3,6,2,4000,1,4,2,2,4,2,1,5,5,3,3,4,3,1,4,3, ,1,1000049,person49
50,1,12,5,3000,2,3,3,2,3,3,1,4,5,3,5,4,2,1,4,2,Jerusalem ,1,1000050,person50
51,4,6,4,3000,2,3,3,3,3,4,1,5,5,3,1,4,1,1,4,5, ,1,1000051,person51
52,5,24,5,8000,2,5,5,5,3,5,5,5,3,5,5,1,1,1,5,5, ,0,1000052,person52
53,3,12,4,8000,1,1,1,3,2,4,1,2,4,1,3,3,1,1,3,4,Jerusalem ,1,1000053,person53
54,2,12,3,4000,2,5,4,5,4,5,5,5,5,5,5,3,4,1,4,5, ,,1000054,person54
55,4,12,4,2000,1.5,2,3,3,5,3,1,5,3,1,4,4,1,1,3,2, ,1,1000055,person55
56,5,12,3,3000,1.5,5,2,5,5,1,1,1,5,5,5,5,5,1,4,1,Haifa,1,1000056,person56
57,5,12,2,2000,1,5,3,5,4,3,2,5,5,5,3,3,5,3,3,1, ,0,1000057,person57
58,3,12,2,5000,1.5,5,1,3,2,4,1,4,5,4,3,4,1,1,4,3, ,1,1000058,person58
59,4,24,4,8000,2,4,3,5,4,4,2,5,5,3,5,2,4,1,3,3,Beer Sheba,1,1000059,person59
60,5,24,4,5000,1.5,3,3,4,5,4,1,4,5,3,5,1,2,1,5,4,Beer Sheba,,1000060,person60
61,1,12,4,3000,1.5,3,2,5,4,3,4,5,5,5,5,1,5,5,3,2,Beer Sheba,1,1000061,person61
62,5,24,3,8000,2,5,3,5,5,5,1,1,3,3,5,1,1,1,3,3,Beer Sheba,1,1000062,person62
63,4,6,3,2000,1,3,3,5,4,4,2,2,5,3,4,4,3,5,4,4, ,1,1000063,person63
64,5,12,5,3000,1.5,4,3,3,3,2,1,5,5,4,2,5,2,1,4,2, ,1,1000064,person64
65,4,12,4,6000,2,1,1,3,4,3,1,5,5,4,4,4,1,1,4,1, ,1,1000065,person65
66,3,24,3,4000,1,3,3,5,5,4,3,3,5,4,4,1,5,5,5,3, ,1,1000066,person66
